DATE,XTIMVA01GBM667S
2003-02-01,31123125628.724503
2003-03-01,30562755970.68
2003-04-01,30274836529.007603
2003-05-01,31957296410.961098
2003-06-01,32025776908.2869
2003-07-01,31254388859.7237
2003-08-01,31244097807.2136
2003-09-01,32417141260.388
2003-10-01,34012180101.3565
2003-11-01,34255920745.594997
2003-12-01,35032650155.796295
2004-01-01,37392771960.0141
2004-02-01,36518660808.5911
2004-03-01,36038218496.2965
2004-04-01,37087365107.481606
2004-05-01,37361371372.7769
2004-06-01,37486249925.6378
2004-07-01,38909523416.7179
2004-08-01,38777084623.2224
2004-09-01,37952136539.4413
2004-10-01,40573523948.6957
2004-11-01,40130937702.342
2004-12-01,41567457499.9356
2005-01-01,41245331576.2932
2005-02-01,40583989663.2859
2005-03-01,41148290458.725395
2005-04-01,42593209960.4492
2005-05-01,40508098994.559296
2005-06-01,39911113212.7584
2005-07-01,39774962318.5164
2005-08-01,41666444838.243996
2005-09-01,41975029149.4544
2005-10-01,41207042689.8367
2005-11-01,40722376550.711205
2005-12-01,42675878959.584206
2006-01-01,44160780179.567406
2006-02-01,44730437715.052
2006-03-01,43699448101.2027
2006-04-01,45186810383.7087
2006-05-01,49223314999.0683
2006-06-01,47512265070.0787
2006-07-01,46305552493.7054
2006-08-01,46763810159.889305
2006-09-01,47044725619.5976
2006-10-01,45623911259.7994
2006-11-01,47243403365.0183
2006-12-01,49425426974.1776
2007-01-01,47425001342.2161
2007-02-01,49211027675.3272
2007-03-01,49513127958.99149
2007-04-01,49567048480.798
2007-05-01,49011773814.804
2007-06-01,51779063095.973595
2007-07-01,52797083656.6342
2007-08-01,52293755679.2014
2007-09-01,54388191227.5529
2007-10-01,53428274272.1644
2007-11-01,55669573759.142204
2007-12-01,53871117702.8787
2008-01-01,53575511270.8104
2008-02-01,54193801472.2078
2008-03-01,55804492853.4495
2008-04-01,56299214798.702896
2008-05-01,56708844831.146
2008-06-01,59081014957.097404
2008-07-01,58439429412.538605
2008-08-01,55074199268.114296
2008-09-01,51068450225.9143
2008-10-01,45970076611.8103
2008-11-01,42491902297.2472
2008-12-01,38039244708.839195
2009-01-01,37278570381.3009
2009-02-01,36673439420.8441
2009-03-01,34989844241.3542
2009-04-01,37537564571.7248
2009-05-01,37781551319.159904
2009-06-01,39972261957.963196
2009-07-01,40616804230.869804
2009-08-01,41084194458.279495
2009-09-01,42388389026.6957
2009-10-01,43434686326.7815
2009-11-01,43739312938.719696
2009-12-01,43992932339.183495
2010-01-01,44324475318.7145
2010-02-01,43088669158.7914
2010-03-01,42677075764.1214
2010-04-01,43438045253.6431
2010-05-01,43367008945.5908
2010-06-01,44361534349.7631
2010-07-01,46058789104.311005
2010-08-01,46925793290.90681
2010-09-01,46203092577.0118
2010-10-01,48202018437.7102
2010-11-01,49480864005.4924
2010-12-01,50762417877.2687
2011-01-01,52161033199.2977
2011-02-01,51006342250.292496
2011-03-01,50193823106.313896
2011-04-01,52235256971.9012
2011-05-01,54761329615.5602
2011-06-01,51275715338.4373
2011-07-01,54758984525.287605
2011-08-01,53110927421.731606
2011-09-01,52857524862.2852
2011-10-01,53522589366.137505
2011-11-01,52856932923.692
2011-12-01,51331897756.453
2012-01-01,52461188800.0982
2012-02-01,51766101947.154
2012-03-01,52949727148.3423
2012-04-01,54358881276.2139
2012-05-01,52446319837.946396
2012-06-01,50990982565.4875
2012-07-01,50744865094.382805
2012-08-01,53798637127.0957
2012-09-01,53904501430.8132
2012-10-01,52007515918.0051
2012-11-01,51287687292.0336
2012-12-01,54961659286.4182
2013-01-01,51708362190.8016
2013-02-01,51948639260.469696
2013-03-01,53302202882.0093
2013-04-01,50208972267.689606
2013-05-01,51156648046.0491
2013-06-01,54107689166.446495
2013-07-01,51792241400.6494
2013-08-01,54266981850.8488
2013-09-01,55943273791.7498
2013-10-01,54768522657.0829
2013-11-01,56272779358.0616
2013-12-01,53848496167.293396
2014-01-01,55087043964.32941
2014-02-01,55822272528.68929
2014-03-01,54729626406.1397
2014-04-01,56399189141.1882
2014-05-01,57830742774.003296
2014-06-01,56217419809.117
2014-07-01,58297053409.528206
2014-08-01,55646382638.9786
2014-09-01,54655757075.6768
2014-10-01,53573034918.5838
2014-11-01,53376680173.8008
2014-12-01,53685945525.302795
2015-01-01,49434231743.397804
2015-02-01,52207108544.37511
2015-03-01,49568605091.1165
2015-04-01,48688711131.057304
2015-05-01,52128457330.93
2015-06-01,51273121331.7779
2015-07-01,50299860305.9037
2015-08-01,50661350020.2576
2015-09-01,49394034983.8838
2015-10-01,52660569401.3613
2015-11-01,49737912499.0121
2015-12-01,46503264686.9172
2016-01-01,46248248614.142296
2016-02-01,47700674747.0174
2016-03-01,47446284736.6948
2016-04-01,50346789883.8231
2016-05-01,48967607697.5739
2016-06-01,49724913586.799194
2016-07-01,46855275952.7341
2016-08-01,47845166135.099
2016-09-01,49127105557.6281
2016-10-01,44978639568.9582
2016-11-01,46715516036.64
2016-12-01,47958855777.5064
2017-01-01,46691364349.8025
2017-02-01,48024240656.5446
2017-03-01,48062286413.6906
2017-04-01,49424719747.4555
2017-05-01,50395429303.4179
2017-06-01,50112131819.6424
2017-07-01,50656476900.96629
2017-08-01,51639513742.1289
2017-09-01,53531902052.0201
2017-10-01,51336339832.648796
2017-11-01,51642152381.142
2017-12-01,52850675263.500694
2018-01-01,54518580941.3686
2018-02-01,52953138666.878204
2018-03-01,55197662930.3759
2018-04-01,53879011277.0695
2018-05-01,53267670294.2408
2018-06-01,54039399278.5333
2018-07-01,53379572329.1322
2018-08-01,53681138241.1555
2018-09-01,53282237697.9728
2018-10-01,53858482987.7046
2018-11-01,53398000123.9066
2018-12-01,51670242449.2025
2019-01-01,53933254118.1948
2019-02-01,55489000137.8764
2019-03-01,57792273558.3568
2019-04-01,50349774930.8412
2019-05-01,51765035328.996704
2019-06-01,50842368790.8994
2019-07-01,50201900968.5326
2019-08-01,50970720223.8492
2019-09-01,51257840910.0825
2019-10-01,54000464026.7381
2019-11-01,48170146410.6863
2019-12-01,47903728150.312805
2020-01-01,47967760174.489
2020-02-01,46841125174.5165
2020-03-01,42680975613.1233
2020-04-01,33117727286.191902
2020-05-01,33561293914.407402
2020-06-01,39713567033.3209
2020-07-01,43032351499.9262
2020-08-01,46528630466.3569
2020-09-01,49308524964.2798
2020-10-01,51451145178.6633
2020-11-01,54570977586.4985
2020-12-01,54734864904.623
2021-01-01,45292804499.7556
2021-02-01,49240195177.125
2021-03-01,50959032082.630005
2021-04-01,52944741241.4877
2021-05-01,55889626947.771194
2021-06-01,55753562257.7384
